Date,Name,mean_pixel_val
2021-08-18,Mildred Island,NA
2021-08-19,Franks Tract,NA
2021-08-19,Mildred Island,NA
2021-08-20,Franks Tract,NA
2021-08-20,Mildred Island,NA
2021-08-21,Franks Tract,39.79317092895508
2021-08-21,Mildred Island,0
2021-08-22,Franks Tract,45.937557220458984
2021-08-22,Mildred Island,0
2021-08-23,Franks Tract,NA
2021-08-23,Mildred Island,NA
2021-08-24,Franks Tract,NA
2021-08-24,Mildred Island,NA
2021-08-25,Franks Tract,30.60452651977539
2021-08-25,Mildred Island,0
2021-08-26,Franks Tract,31.8092041015625
2021-08-26,Mildred Island,0
2021-08-27,Franks Tract,NA
2021-08-27,Mildred Island,NA
2021-08-28,Franks Tract,NA
2021-08-28,Mildred Island,NA
2021-08-29,Franks Tract,21.128799438476562
2021-08-29,Mildred Island,0
2021-08-30,Franks Tract,15.17422866821289
2021-08-30,Mildred Island,0
2021-08-31,Franks Tract,NA
2021-08-31,Mildred Island,NA
2021-09-01,Franks Tract,0
2021-09-01,Mildred Island,NA
2021-09-02,Franks Tract,10.079717636108398
2021-09-02,Mildred Island,0
2021-09-03,Franks Tract,3.557729959487915
2021-09-03,Mildred Island,0
2021-09-04,Franks Tract,NA
2021-09-04,Mildred Island,NA
2021-09-05,Franks Tract,3.4646072387695313
2021-09-05,Mildred Island,0
2021-09-06,Franks Tract,4.034019947052002
2021-09-06,Mildred Island,0
2021-09-07,Franks Tract,0
2021-09-07,Mildred Island,0
2021-09-08,Franks Tract,NA
2021-09-08,Mildred Island,NA
2021-09-09,Franks Tract,0
2021-09-09,Mildred Island,0
2021-09-10,Franks Tract,0
2021-09-10,Mildred Island,0
2021-09-11,Franks Tract,NA
2021-09-11,Mildred Island,NA
2021-09-12,Franks Tract,NA
2021-09-12,Mildred Island,NA
2021-09-13,Franks Tract,0
2021-09-13,Mildred Island,0
2021-09-14,Franks Tract,0
2021-09-14,Mildred Island,0
2021-09-15,Franks Tract,NA
2021-09-15,Mildred Island,NA
2021-09-16,Franks Tract,NA
2021-09-16,Mildred Island,NA
2021-09-17,Franks Tract,0
2021-09-17,Mildred Island,0
2021-09-18,Franks Tract,0
2021-09-18,Mildred Island,0
2021-09-19,Franks Tract,NA
2021-09-19,Mildred Island,NA
2021-09-20,Franks Tract,NA
2021-09-20,Mildred Island,NA
2021-09-21,Franks Tract,0
2021-09-21,Mildred Island,0
2021-09-22,Franks Tract,0
2021-09-22,Mildred Island,0
2021-09-23,Franks Tract,NA
2021-09-23,Mildred Island,NA
2021-09-24,Franks Tract,NA
2021-09-24,Mildred Island,NA
2021-09-25,Franks Tract,0
2021-09-25,Mildred Island,0
2021-09-26,Franks Tract,0
2021-09-26,Mildred Island,0
2021-09-27,Franks Tract,NA
2021-09-27,Mildred Island,NA
2021-09-28,Franks Tract,0
2021-09-28,Mildred Island,NA
2021-09-29,Franks Tract,0
2021-09-29,Mildred Island,0
2021-09-30,Franks Tract,0
2021-09-30,Mildred Island,0
2021-10-01,Franks Tract,NA
2021-10-01,Mildred Island,NA
2021-10-02,Franks Tract,0
2021-10-02,Mildred Island,0
2021-10-03,Franks Tract,1.4324324131011963
2021-10-03,Mildred Island,0
2021-10-04,Franks Tract,17.09677505493164
2021-10-04,Mildred Island,0
2021-10-05,Franks Tract,NA
2021-10-05,Mildred Island,NA
2021-10-06,Franks Tract,3.4430482387542725
2021-10-06,Mildred Island,NA
2021-10-07,Franks Tract,0
2021-10-07,Mildred Island,0
2021-10-08,Franks Tract,NA
2021-10-08,Mildred Island,NA
